2021 Per Capita Personal Income by Metropolitan Statistical Area (Dollars)
Series ID,Region Name,Region Code,2021-01-01
"ABIL148PCPI","Abilene, TX","10180","55556"
"AKRO439PCPI","Akron, OH","10420","58735"
"ALBA513PCPI","Albany, GA","10500","45619"
"ALBA536PCPI","Albany-Schenectady-Troy, NY","10580","67788"
"ALBU735PCPI","Albuquerque, NM","10740","52263"
"ALEX722PCPI","Alexandria, LA","10780","51738"
"ALLE942PCPI","Allentown-Bethlehem-Easton, PA-NJ","10900","62618"
"ALTO042PCPI","Altoona, PA","11020","54470"
"AMAR148PCPI","Amarillo, TX","11100","56248"
"AMES119PCPI","Ames, IA","11180","49320"
"ANCH202PCPI","Anchorage, AK","11260","67085"
"ANDE318PCPI","Anderson, IN","11300",""
"ANNA426PCPI","Ann Arbor, MI","11460","68688"
"ANNI501PCPI","Anniston-Oxford-Jacksonville, AL","11500","42621"
"APPL555PCPI","Appleton, WI","11540","58312"
"ASHE737PCPI","Asheville, NC","11700","54827"
"ATHE013PCPI","Athens-Clarke County, GA","12020","48323"
"ATLA013PCPI","Atlanta-Sandy Springs-Roswell, GA","12060","63219"
"ATLA134PCPI","Atlantic City-Hammonton, NJ","12100","58310"
"AUBU201PCPI","Auburn-Opelika, AL","12220","45002"
"AUGU213PCPI","Augusta-Richmond County, GA-SC","12260","49432"
"AUST448PCPI","Austin-Round Rock, TX","12420","71372"
"BAKE506PCPI","Bakersfield, CA","12540","45961"
"BALT524PCPI","Baltimore-Columbia-Towson, MD","12580","70490"
"BATO922PCPI","Baton Rouge, LA","12940","56396"
"BATT926PCPI","Battle Creek, MI","12980","47789"
"BAYC026PCPI","Bay City, MI","13020","50396"
"BEAU148PCPI","Beaumont-Port Arthur, TX","13140","49006"
"BELL353PCPI","Bellingham, WA","13380","58137"
"BEND441PCPI","Bend-Redmond, OR","13460","67743"
"BILL730PCPI","Billings, MT","13740","59698"
"BING736PCPI","Binghamton, NY","13780","51295"
"BIRM801PCPI","Birmingham-Hoover, AL","13820","59107"
"BISM938PCPI","Bismarck, ND","13900","64134"
"BLAC951PCPI","Blacksburg-Christiansburg-Radford, VA","13980","44904"
"BLOO017PCPI","Bloomington, IL","14010",""
"BLOO018PCPI","Bloomington, IN","14020","51899"
"BOIS216PCPI","Boise City, ID","14260","55487"
"BOUL508PCPI","Boulder, CO","14500","89593"
"BOWPCPI","Bowling Green, KY","14540","43282"
"BREM753PCPI","Bremerton-Silverdale, WA","14740","67845"
"BROW148PCPI","Brownsville-Harlingen, TX","15180","37861"
"BRUN213PCPI","Brunswick, GA","15260","51400"
"BUFF336PCPI","Buffalo-Cheektowaga-Niagara Falls, NY","15380","56808"
"BURL537PCPI","Burlington, NC","15500","48118"
"CALX924PCPI","California-Lexington Park, MD","15680","65762"
"CANT939PCPI","Canton-Massillon, OH","15940","52152"
"CAPE912PCPI","Cape Coral-Fort Myers, FL","15980","62885"
"CARS132PCPI","Carson City, NV","16180","60445"
"CASP256PCPI","Casper, WY","16220","70175"
"CEDA319PCPI","Cedar Rapids, IA","16300","59063"
"CHAM517PCPI","Champaign-Urbana, IL","16580","55335"
"CHAR654PCPI","Charleston, WV","16620","51638"
"CHAR745PCPI","Charleston-North Charleston, SC","16700","60754"
"CHAR737PCPI","Charlotte-Concord-Gastonia, NC-SC","16740","62056"
"CHAR851PCPI","Charlottesville, VA","16820","77070"
"CHAT847PCPI","Chattanooga, TN-GA","16860","53906"
"CHEY956PCPI","Cheyenne, WY","16940","58646"
"CHIC917PCPI","Chicago-Naperville-Elgin, IL-IN-WI","16980","71992"
"CHIC006PCPI","Chico, CA","17020","54694"
"CINC139PCPI","Cincinnati, OH-KY-IN","17140","63116"
"CLHPCPI","Clarksville, TN-KY","17300","47519"
"CLEV447PCPI","Cleveland, TN","17420","45404"
"CLEV439PCPI","Cleveland-Elyria, OH","17460","61948"
"COEU616PCPI","Coeur d'Alene, ID","17660","54406"
"COLL748PCPI","College Station-Bryan, TX","17780","47803"
"COLO808PCPI","Colorado Springs, CO","17820","58736"
"CLMPCPI","Columbia, MO","17860","53583"
"COLU945PCPI","Columbia, SC","17900","53286"
"COLU913PCPI","Columbus, GA-AL","17980","47349"
"COLU018PCPI","Columbus, IN","18020","61136"
"COLU139PCPI","Columbus, OH","18140","59867"
"CORP548PCPI","Corpus Christi, TX","18580","52612"
"CORV741PCPI","Corvallis, OR","18700","54174"
"FORT012PCPI","Crestview-Fort Walton Beach-Destin, FL","18880","64660"
"CUMB024PCPI","Cumberland, MD-WV","19060","47576"
"DALL148PCPI","Dallas-Fort Worth-Arlington, TX","19100","66727"
"DALT113PCPI","Dalton, GA","19140","44668"
"DANV117PCPI","Danville, IL","19180","49265"
"DANV251PCPI","Danville, VA","19260",""
"DAVE317PCPI","Davenport-Moline-Rock Island, IA-IL","19340","56181"
"DAYT339PCPI","Dayton, OH","19380",""
"DECA401PCPI","Decatur, AL","19460","46533"
"DECA517PCPI","Decatur, IL","19500","56548"
"DELT612PCPI","Deltona-Daytona Beach-Ormond Beach, FL","19660","53559"
"DENV708PCPI","Denver-Aurora-Lakewood, CO","19740","78150"
"DESM719PCPI","Des Moines-West Des Moines, IA","19780","61833"
"DETR826PCPI","Detroit-Warren-Dearborn, MI","19820","60965"
"DOTH001PCPI","Dothan, AL","20020","49343"
"DOVE110PCPI","Dover, DE","20100","50432"
"DUBU219PCPI","Dubuque, IA","20220","56782"
"DULU227PCPI","Duluth, MN-WI","20260","53734"
"DURH537PCPI","Durham-Chapel Hill, NC","20500","63375"
"EAUC755PCPI","Eau Claire, WI","20740","54814"
"ELCE906PCPI","El Centro, CA","20940","47653"
"ELZPCPI","Elizabethtown-Fort Knox, KY","21060","50016"
"ELKH118PCPI","Elkhart-Goshen, IN","21140","55007"
"ELMI336PCPI","Elmira, NY","21300","52360"
"ELPA348PCPI","El Paso, TX","21340","44058"
"ERIE542PCPI","Erie, PA","21500","52747"
"EUGE641PCPI","Eugene, OR","21660","55146"
"EVNPCPI","Evansville, IN-KY","21780","56650"
"FAIR802PCPI","Fairbanks, AK","21820","65314"
"FARG038PCPI","Fargo, ND-MN","22020","62021"
"FARM135PCPI","Farmington, NM","22140","41735"
"FAYE137PCPI","Fayetteville, NC","22180","45542"
"FASPCPI","Fayetteville-Springdale-Rogers, AR-MO","22220","70594"
"FLAG304PCPI","Flagstaff, AZ","22380","56914"
"FLIN426PCPI","Flint, MI","22420","49399"
"FLOR545PCPI","Florence, SC","22500","50386"
"FLOR501PCPI","Florence-Muscle Shoals, AL","22520","44605"
"FOND555PCPI","Fond du Lac, WI","22540","56378"
"FORT608PCPI","Fort Collins, CO","22660","64258"
"FTSPCPI","Fort Smith, AR-OK","22900","45134"
"FORT018PCPI","Fort Wayne, IN","23060","54623"
"FRES406PCPI","Fresno, CA","23420","51422"
"GADS401PCPI","Gadsden, AL","23460","42558"
"GAIN512PCPI","Gainesville, FL","23540","50623"
"GAIN513PCPI","Gainesville, GA","23580","53920"
"GLEN036PCPI","Glens Falls, NY","24020","56040"
"GOLD137PCPI","Goldsboro, NC","24140","49881"
"GRAN238PCPI","Grand Forks, ND-MN","24220","58295"
"GRAN308PCPI","Grand Junction, CO","24300","52121"
"GRAN326PCPI","Grand Rapids-Wyoming, MI","24340","57667"
"GREA530PCPI","Great Falls, MT","24500","53765"
"GREE508PCPI","Greeley, CO","24540","56553"
"GREE555PCPI","Green Bay, WI","24580","58240"
"GREE637PCPI","Greensboro-High Point, NC","24660","51872"
"GREE737PCPI","Greenville, NC","24780","53200"
"ANDE345PCPI","Greenville-Anderson-Mauldin, SC","24860",""
"GREE845PCPI","Greenville-Anderson-Mauldin, SC","24860","50908"
"GULF028PCPI","Gulfport-Biloxi-Pascagoula, MS","25060","44488"
"HAGE124PCPI","Hagerstown-Martinsburg, MD-WV","25180","51102"
"HANF206PCPI","Hanford-Corcoran, CA","25260","43176"
"HARR442PCPI","Harrisburg-Carlisle, PA","25420","60517"
"HARR551PCPI","Harrisonburg, VA","25500","47217"
"HATT628PCPI","Hattiesburg, MS","25620","44538"
