2022 Resident Population by Metropolitan Statistical Area (Thousands of Persons)
Series ID,Region Name,Region Code,2022-01-01
"ABLPOP","Abilene, TX","10180","179.308"
"AKRPOP","Akron, OH","10420","697.627"
"ALGPOP","Albany, GA","10500","145.786"
"ALBPOP","Albany-Schenectady-Troy, NY","10580","904.617"
"ABQPOP","Albuquerque, NM","10740","919.543"
"ALXPOP","Alexandria, LA","10780","149.189"
"ALLPOP","Allentown-Bethlehem-Easton, PA-NJ","10900","871.229"
"ALTPOP","Altoona, PA","11020","121.032"
"AMAPOP","Amarillo, TX","11100","271.171"
"AMEPOP","Ames, IA","11180","126.282"
"ANCPOP","Anchorage, AK","11260","400.47"
"ANIPOP","Anderson, IN","11300",""
"ANAPOP","Ann Arbor, MI","11460","366.376"
"ANNPOP","Anniston-Oxford-Jacksonville, AL","11500","115.788"
"APLPOP","Appleton, WI","11540","244.845"
"ASHPOP","Asheville, NC","11700","476.072"
"ATHPOP","Athens-Clarke County, GA","12020","220.405"
"ATLPOP","Atlanta-Sandy Springs-Roswell, GA","12060","6222.106"
"ACTPOP","Atlantic City-Hammonton, NJ","12100","275.638"
"ABOPOP","Auburn-Opelika, AL","12220","180.773"
"AUGPOP","Augusta-Richmond County, GA-SC","12260","624.083"
"AUSPOP","Austin-Round Rock, TX","12420","2421.115"
"BAKPOP","Bakersfield, CA","12540","916.108"
"BTMPOP","Baltimore-Columbia-Towson, MD","12580","2835.672"
"BANPOP","Bangor, ME","12620","153.704"
"BYMPOP","Barnstable Town, MA","12700","232.457"
"BTRPOP","Baton Rouge, LA","12940","873.06"
"BCEPOP","Battle Creek, MI","12980","133.289"
"BCTPOP","Bay City, MI","13020","102.821"
"BMTPOP","Beaumont-Port Arthur, TX","13140","393.575"
"BLLPOP","Bellingham, WA","13380","230.677"
"BNDPOP","Bend-Redmond, OR","13460","206.549"
"BILPOP","Billings, MT","13740","190.208"
"BINPOP","Binghamton, NY","13780","244.889"
"BIRPOP","Birmingham-Hoover, AL","13820","1116.857"
"BIZPOP","Bismarck, ND","13900","134.846"
"BCRPOP","Blacksburg-Christiansburg-Radford, VA","13980","165.812"
"BLOPOP","Bloomington, IL","14010","171.141"
"BLNPOP","Bloomington, IL","14010",""
"BLMPOP","Bloomington, IN","14020","161.227"
"BOIPOP","Boise City, ID","14260","811.336"
"BOSPOP","Boston-Cambridge-Newton, MA-NH","14460","4900.55"
"BOLPOP","Boulder, CO","14500","327.468"
"BOWPOP","Bowling Green, KY","14540","185.682"
"BRMPOP","Bremerton-Silverdale, WA","14740","277.673"
"BRGPOP","Bridgeport-Stamford-Norwalk, CT","14860","962.946"
"BVLPOP","Brownsville-Harlingen, TX","15180","425.208"
"BRUPOP","Brunswick, GA","15260","114.442"
"BUFPOP","Buffalo-Cheektowaga-Niagara Falls, NY","15380","1161.192"
"BURPOP","Burlington, NC","15500","176.353"
"BUVPOP","Burlington-South Burlington, VT","15540","227.521"
"CXPPOP","California-Lexington Park, MD","15680","114.877"
"CANPOP","Canton-Massillon, OH","15940","399.316"
"FTMPOP","Cape Coral-Fort Myers, FL","15980","822.453"
"CGJPOP","Cape Girardeau, MO-IL","16020","98.275"
"CARPOP","Carson City, NV","16180","58.13"
"CSPPOP","Casper, WY","16220","79.601"
"CDRPOP","Cedar Rapids, IA","16300","275.592"
"CHMPOP","Champaign-Urbana, IL","16580","223.265"
"CHRPOP","Charleston, WV","16620","251.914"
"CRLPOP","Charleston-North Charleston, SC","16700","830.529"
"CGRPOP","Charlotte-Concord-Gastonia, NC-SC","16740","2756.069"
"CHLPOP","Charlottesville, VA","16820","223.825"
"CHTPOP","Chattanooga, TN-GA","16860","574.507"
"CHYPOP","Cheyenne, WY","16940","100.723"
"CHIPOP","Chicago-Naperville-Elgin, IL-IN-WI","16980","9441.957"
"CHCPOP","Chico, CA","17020","207.303"
"CTIPOP","Cincinnati, OH-KY-IN","17140","2265.051"
"CLHPOP","Clarksville, TN-KY","17300","336.605"
"CLVPOP","Cleveland, TN","17420","128.479"
"CVLPOP","Cleveland-Elyria, OH","17460","2063.132"
"CDAPOP","Coeur d'Alene, ID","17660","183.578"
"BRNPOP","College Station-Bryan, TX","17780","277.824"
"CLRPOP","Colorado Springs, CO","17820","765.424"
"CLMPOP","Columbia, MO","17860","214.63"
"CBAPOP","Columbia, SC","17900","847.686"
"CBSPOP","Columbus, GA-AL","17980","324.11"
"CINPOP","Columbus, IN","18020","83.54"
"COLPOP","Columbus, OH","18140","2161.511"
"CPCPOP","Corpus Christi, TX","18580","421.628"
"CRVPOP","Corvallis, OR","18700","97.63"
"FORPOP","Crestview-Fort Walton Beach-Destin, FL","18880",""
"FWBPOP","Crestview-Fort Walton Beach-Destin, FL","18880","299.786"
"CMBPOP","Cumberland, MD-WV","19060","94.122"
"DFWPOP","Dallas-Fort Worth-Arlington, TX","19100","7943.685"
"DALPOP","Dalton, GA","19140","143.604"
"DNEPOP","Danville, IL","19180","72.337"
"DVLPOP","Danville, VA","19260",""
"DRMPOP","Davenport-Moline-Rock Island, IA-IL","19340","379.374"
