mls_hash,listing_source_master_id,address,city,state,zip,property_type,price,listed_dt,pend_dt,is_in_listings
-5479328573539341532,837000,23 Ridgetop Ln,ELMA,WA,98541,100,497000,,2023-06-02,False
-4468521947906742374,623000,,NEW YORK,NY,10012,400,525000,,2023-06-02,False
-781276491769275607,78000,708 N Western,MARION,IN,46952,100,29900,,2023-06-02,False
4009441286436866814,486000,2345 Mirador,VISTA,CA,92084,100,1575000,,2023-06-02,False
5612629334589475676,207000,145 N Pond,CHESTER,NH,03036,100,575000,,2023-06-02,False
5799999211203861373,708000,3481 Aster,SANTA FE,NM,87507,100,505000,,2023-06-02,False
6939584820861883423,208000,104 PARK DR,CAPITAN,NM,88316,500,165000,,2023-06-02,False
6969502399777327744,229000,1957 S Ash Cir,MESA,AZ,85202,100,415000,,2023-06-02,False
7121089727464508463,207000,20 Morgan,ROCHESTER,NH,03868,500,139900,,2023-06-02,False
9209645555544950576,676000,1680 Duke Way,RENO,NV,89502,100,310000,,2023-06-02,False
-9221846712002229249,837000,2697 Lewis River Rd,WOODLAND,WA,98674,100,1575000,,2023-06-02,False
-9221586636300229924,208000,220 RONEY DR,HOPKINSVILLE,KY,42240,100,189900,,2023-06-02,False
-9221508087102505735,224000,190 Hummels Hill Road,KUTZTOWN,PA,19530,100,425000,,2023-06-02,False
-9221214784881250357,881000,19 Hunt St,NORWALK,CT,06853,1300,1890000,,2023-06-02,False
-9220579700459358975,296000,5128 Cheshire Glen Road,CANANDAIGUA,NY,14424,200,409500,,2023-06-02,False
-9219974387933947465,208000,153 SHADY OAK LN,LEWISBURG,WV,24901,100,285000,,2023-06-02,False
-9219892915566364338,208000,2925 HAPPY HOLLOW EST,HOPKINSVILLE,KY,42240,100,379900,,2023-06-02,False
-9219692126247334669,208000,202 WOODSIDE DR,LEWISBURG,WV,24901,100,449900,,2023-06-02,False
-9219610640970065140,208000,1714 CALVIN DR,HOPKINSVILLE,KY,42240,100,115000,,2023-06-02,False
-9219610628060509939,208000,3512 VELMA DR,HOPKINSVILLE,KY,42240,100,159900,,2023-06-02,False
-9219328370676994745,208000,401 SKYLINE PARK DR,HOPKINSVILLE,KY,42240,100,279900,,2023-06-02,False
-9219328357767045944,208000,202 N WOOLDRIDGE RD,HOPKINSVILLE,KY,42240,100,125000,,2023-06-02,False
-9219328340554393141,208000,1102 CENTRAL AVE,HOPKINSVILLE,KY,42240,100,123000,,2023-06-02,False
-9217930959836763605,391000,1113 NW 122nd Ter,PEMBROKE PINES,FL,33026,200,440000,,2023-06-02,False
-9217864879732951033,229000,9721 Hastings Dr,SAINT LOUIS COUNTY MID,MO,63132,100,995000,,2023-06-02,False
-9217284176952480505,664000,8539 Echoridge Ct,JACKSONVILLE,FL,32244,100,300000,,2023-06-02,False
-9216719589030560508,664000,5518 118TH St UNIT LOT 3,JACKSONVILLE,FL,32244,100,313000,,2023-06-02,False
-9216719584726872508,664000,5518 118TH St UNIT LOT 11,JACKSONVILLE,FL,32244,100,313000,,2023-06-02,False
-9216029318825787246,290000,1995 E 167th Lane,BRIGHTON,CO,80602,100,630000,,2023-06-02,False
-9215501324038512702,706000,215 Dalrymple RD,SANDY SPRINGS,GA,30328,100,650000,,2023-06-02,False
-9215069569282683288,298000,1011 Florence Avenue,GALESBURG,IL,61401,100,140000,,2023-06-02,False
-9215069564979716888,298000,1296 Harrison Street,GALESBURG,IL,61401,100,85900,,2023-06-02,False
-9215069564979716887,298000,1231 W North Street,GALESBURG,IL,61401,100,70000,,2023-06-02,False
-9212436099480208482,347000,196 New Bethel Rd,LAFAYETTE,TN,37083,100,469900,,2023-06-02,False
-9212383161644901932,686000,1710 W 24th Pl,KENNEWICK,WA,99337,100,385000,,2023-06-02,False
-9212032681599170172,623000,,BROOKLYN,NY,11225,300,1675000,,2023-06-02,False
-9211026786985079388,837000,7524 Maxwelton Rd,CLINTON,WA,98236,100,750000,,2023-06-02,False
-9209053591041012645,229000,7550 York Dr #1W,SAINT LOUIS COUNTY MID,MO,63105,200,299000,,2023-06-02,False
-9208987161828295960,208000,11302 RIDGEVIEW RD,EVANSVILLE,WY,82636,100,549900,,2023-06-02,False
-9208987161828164765,208000,614 RIVER ROCK TRL,EVANSVILLE,WY,82636,100,359900,,2023-06-02,False
-9208987157525132755,208000,8632 E AGATE ST,EVANSVILLE,WY,82636,100,264900,,2023-06-02,False
-9208206719916270251,229000,901 Glen Ridge Ave,SAINT LOUIS COUNTY MID,MO,63105,200,1100000,,2023-06-02,False
-9208206715613303845,229000,900 S Hanley Rd #8D,SAINT LOUIS COUNTY MID,MO,63105,200,255000,,2023-06-02,False
-9208206715613238248,229000,6253 Rosebury Ave #3E,SAINT LOUIS COUNTY MID,MO,63105,200,339900,,2023-06-02,False
-9208206711310337441,229000,6227 Northwood Ave #1W,SAINT LOUIS COUNTY MID,MO,63105,200,425000,,2023-06-02,False
-9207965662866426766,664000,3126 Altamont Ave E,JACKSONVILLE,FL,32208,100,140000,,2023-06-02,False
-9207924441016676655,229000,155 N Hanley Rd #105,SAINT LOUIS COUNTY MID,MO,63105,200,530000,,2023-06-02,False
-9207696584273529844,3700,9034 W Lisbon Ave 6,MILWAUKEE,WI,53222,200,107500,,2023-06-02,False
-9207683362450229965,664000,569 W 49TH St,JACKSONVILLE,FL,32208,100,89900,,2023-06-02,False
-9207683358147132369,664000,9076 Jefferson Ave,JACKSONVILLE,FL,32208,100,199900,,2023-06-02,False
-9207683353844362759,664000,5216 Doncaster Ave,JACKSONVILLE,FL,32208,100,210000,,2023-06-02,False
-9207683353844297162,664000,834 Bunker Hill Blvd,JACKSONVILLE,FL,32208,100,190000,,2023-06-02,False
-9207482813964816636,290000,10823 Wooden Pole Drive,PARKER,CO,80134,100,674990,,2023-06-02,False
-9206058032086012409,208000,356 LOVELL AVE,ELMIRA,NY,14905,100,142000,,2023-06-02,False
-9206058032085946810,208000,102 EVERGREEN AVE,ELMIRA,NY,14905,100,149900,,2023-06-02,False
-9205434360931823156,208000,546 SPARN ST,GRAND JUNCTION,CO,81501,100,327500,,2023-06-02,False
-9205434360931823155,208000,125 BOOKCLIFF AVE,GRAND JUNCTION,CO,81501,100,539900,,2023-06-02,False
-9205434360931626357,208000,823 N 10TH ST,GRAND JUNCTION,CO,81501,100,350000,,2023-06-02,False
-9205434356628856757,208000,2854 PICARDY DR,GRAND JUNCTION,CO,81501,100,399900,,2023-06-02,False
-9205434356628791156,208000,506 N 25TH ST,GRAND JUNCTION,CO,81501,100,315000,,2023-06-02,False
-9200201459196699519,742000,32 Kerri Farms Drive,STANDISH,ME,04084,100,485000,,2023-06-02,False
-9198790024253826901,229000,2209 E 4th St,MISHAWAKA,IN,46544,100,110000,,2023-06-02,False
-9198790007040649303,229000,1014 W 7th St,MISHAWAKA,IN,46544,100,150000,,2023-06-02,False
-9198789994131356496,208000,60171 BREMEN HWY,MISHAWAKA,IN,46544,100,200000,,2023-06-02,False
-9191700708300894186,629000,317 Katie Lynn Drive,WENTZVILLE,MO,63385,100,354900,,2023-06-02,False
-9189983637505052839,602000,2427 Remuda Drive,SHERMAN,TX,75092,100,710000,,2023-06-02,False
-9187030078505524183,207000,622 Eagles Nest Circle,AUBURN,GA,30011,100,462900,,2023-06-02,False
-9185422880046440613,208000,5880 W 250 S,ANDERSON,IN,46011,100,130000,,2023-06-02,False
-9185422862833656616,208000,4330 W 200 N,ANDERSON,IN,46011,100,199900,,2023-06-02,False
-9185422858530821404,208000,1005 SPRING VALLEY DR,ANDERSON,IN,46011,100,249000,,2023-06-02,False
-9185140601146781416,208000,2919 HARBUR BLVD,ANDERSON,IN,46011,100,215000,,2023-06-02,False
-9185140583934128614,208000,3905 KNOLL WOOD LN,ANDERSON,IN,46011,100,319900,,2023-06-02,False
-9184793499811953872,208000,111 ROCK MOSS DR,WILLIAMSTON,SC,29697,100,235000,,2023-06-02,False
-9184793478295809862,208000,112 SHEILA DR,WILLIAMSTON,SC,29697,100,339900,,2023-06-02,False
-9184545192292813332,706000,2678 Hillcrest AVE,MACON,GA,31204,300,130000,,2023-06-02,False
-9184078469037522032,208000,4201 38TH ST,LUBBOCK,TX,79413,100,169900,,2023-06-02,False
