Date,""
2017-01-06,822944
2017-01-13,824213
2017-01-20,826094
2017-01-27,824837
2017-02-03,825945
2017-02-10,825111
2017-02-17,826974
2017-02-24,831172
2017-03-03,833865
2017-03-10,841585
2017-03-17,851816
2017-03-24,861103
2017-03-31,876916
2017-04-07,879913
2017-04-14,891454
2017-04-21,896321
2017-04-28,909854
2017-05-05,912190
2017-05-12,919176
2017-05-19,938479
2017-05-26,949088
2017-06-02,953701
2017-06-09,962729
2017-06-16,973109
2017-06-23,970895
2017-06-30,981575
2017-07-07,975533
2017-07-14,985680
2017-07-21,995106
2017-07-28,1000701
2017-08-04,1004027
2017-08-11,995988
2017-08-18,997561
2017-08-25,1001093
2017-09-01,998878
2017-09-08,988096
2017-09-15,988559
2017-09-22,989411
2017-09-29,987238
2017-10-06,975217
2017-10-13,983237
2017-10-20,971686
2017-10-27,971692
2017-11-03,963381
2017-11-10,944056
2017-11-17,935080
2017-11-24,918504
2017-12-01,897969
2017-12-08,873798
2017-12-15,861338
2017-12-22,838910
2017-12-29,815452
2018-01-05,774690
2018-01-12,775122
2018-01-19,778559
2018-01-26,780790
2018-02-02,768209
2018-02-09,764869
2018-02-16,770792
2018-02-23,775316
2018-03-02,774676
2018-03-09,778503
2018-03-16,789875
2018-03-23,801078
2018-03-30,805936
2018-04-06,797722
2018-04-13,813387
2018-04-20,825655
2018-04-27,830733
2018-05-04,836868
2018-05-11,849877
2018-05-18,863674
2018-05-25,878773
2018-06-01,888748
2018-06-08,899454
2018-06-15,912339
2018-06-22,919722
2018-06-29,931632
2018-07-06,928152
2018-07-13,932941
2018-07-20,944805
2018-07-27,953004
2018-08-03,955149
2018-08-10,947449
2018-08-17,956225
2018-08-24,953858
2018-08-31,952787
2018-09-07,946423
2018-09-14,958634
2018-09-21,961797
2018-09-28,965801
2018-10-05,956865
2018-10-12,960089
2018-10-19,962784
2018-10-26,959107
2018-11-02,953663
2018-11-09,939515
2018-11-16,937865
2018-11-23,927265
2018-11-30,912613
2018-12-07,891381
2018-12-14,878301
2018-12-21,868027
2018-12-28,847221
2019-01-04,816822
2019-01-11,814555
2019-01-18,824888
2019-01-25,827057
2019-02-01,816162
2019-02-08,812083
2019-02-15,818775
2019-02-22,819313
2019-03-01,817908
2019-03-08,817496
2019-03-15,824235
2019-03-22,829907
2019-03-29,833610
2019-04-05,837019
2019-04-12,851251
2019-04-19,864047
2019-04-26,868385
2019-05-03,885715
2019-05-10,896306
2019-05-17,909142
2019-05-24,931119
2019-05-31,941430
2019-06-07,929901
2019-06-14,942550
2019-06-21,954674
2019-06-28,967376
2019-07-05,948765
2019-07-12,951354
2019-07-19,960509
2019-07-26,959728
2019-08-02,961978
2019-08-09,955624
2019-08-16,954249
2019-08-23,950857
2019-08-30,959780
2019-09-06,946805
2019-09-13,954141
2019-09-20,953971
2019-09-27,953840
2019-10-04,954887
2019-10-11,946524
2019-10-18,935594
2019-10-25,928628
2019-11-01,913078
2019-11-08,892546
2019-11-15,886302
2019-11-22,871744
2019-11-29,853757
2019-12-06,829383
2019-12-13,821702
2019-12-20,803568
2019-12-27,782537
2020-01-03,763226
2020-01-10,737411
2020-01-17,739543
2020-01-24,735867
2020-01-31,731598
2020-02-07,721886
2020-02-14,726454
2020-02-21,722701
2020-02-28,723685
2020-03-06,719938
2020-03-13,729489
2020-03-20,737526
2020-03-27,746397
2020-04-03,750459
2020-04-10,748572
2020-04-17,748913
2020-04-24,745896
2020-05-01,737748
2020-05-08,731670
2020-05-15,729148
2020-05-22,724208
2020-05-29,718753
2020-06-05,705337
2020-06-12,697927
2020-06-19,689785
2020-06-26,676529
2020-07-03,665865
2020-07-10,653948
2020-07-17,646512
2020-07-24,639691
2020-07-31,626242
2020-08-07,612239
2020-08-14,601366
2020-08-21,593185
2020-08-28,591162
2020-09-04,583578
2020-09-11,578556
2020-09-18,572630
2020-09-25,567365
2020-10-02,562490
2020-10-09,554777
2020-10-16,554184
2020-10-23,549507
2020-10-30,542940
2020-11-06,529590
2020-11-13,524453
2020-11-20,513996
2020-11-27,498876
2020-12-04,480610
2020-12-11,468408
2020-12-18,454024
2020-12-25,437164
2021-01-01,419500
2021-01-08,396597
2021-01-15,388444
2021-01-22,380133
2021-01-29,366685
2021-02-05,354685
2021-02-12,344213
2021-02-19,336725
2021-02-26,325207
2021-03-05,317742
2021-03-12,317143
2021-03-19,315885
2021-03-26,312665
2021-04-02,309689
2021-04-09,306355
2021-04-16,311473
2021-04-23,309817
2021-04-30,307141
2021-05-07,310278
2021-05-14,313356
2021-05-21,323302
2021-05-28,326728
2021-06-04,329167
2021-06-11,341821
2021-06-18,353067
2021-06-25,359200
2021-07-02,373123
2021-07-09,372609
2021-07-16,390258
2021-07-23,402585
2021-07-30,407026
2021-08-06,411545
2021-08-13,421972
2021-08-20,431392
2021-08-27,430941
2021-09-03,437091
2021-09-10,430941
2021-09-17,436173
2021-09-24,432479
2021-10-01,427894
2021-10-08,425665
2021-10-15,423253
2021-10-22,422452
2021-10-29,413354
2021-11-05,400387
2021-11-12,393489
2021-11-19,384564
2021-11-26,374725
2021-12-03,350240
2021-12-10,338801
2021-12-17,325734
2021-12-24,310233
2021-12-31,293477
2022-01-07,292021
2022-01-14,283656
2022-01-21,276856
2022-01-28,271594
2022-02-04,255622
2022-02-11,249161
2022-02-18,247385
2022-02-25,243916
2022-03-04,240194
2022-03-11,247320
2022-03-18,245776
2022-03-25,251522
2022-04-01,252820
2022-04-08,258264
2022-04-15,267459
2022-04-22,271510
2022-04-29,287821
2022-05-06,300481
2022-05-13,312857
2022-05-20,338399
2022-05-27,357582
2022-06-03,368436
2022-06-10,392792
2022-06-17,415581
2022-06-24,441106
2022-07-01,472046
2022-07-08,487319
2022-07-15,508633
2022-07-22,525548
2022-07-29,538908
2022-08-05,543898
2022-08-12,550175
2022-08-19,551458
2022-08-26,554748
2022-09-02,552536
2022-09-09,547122
2022-09-16,552042
2022-09-23,556865
2022-09-30,561229
2022-10-07,561304
2022-10-14,566284
2022-10-21,571944
2022-10-28,577172
2022-11-04,574973
2022-11-11,571515
2022-11-18,568524
2022-11-25,563742
2022-12-02,549324
2022-12-09,535469
2022-12-16,521957
2022-12-23,507934
2022-12-30,490809
2023-01-06,471349
2023-01-13,472688
2023-01-20,472122
2023-01-27,465654
2023-02-03,456990
2023-02-10,443416
2023-02-17,436558
2023-02-24,429757
2023-03-03,418736
2023-03-10,412535
2023-03-17,414278
2023-03-24,413169
2023-03-31,410028
2023-04-07,410851
2023-04-14,405468
2023-04-21,414010
2023-04-28,421166
2023-05-05,419725
2023-05-12,420381
2023-05-19,424190
2023-05-26,433104
2023-06-02,436284
