2021 Median Household Income by State (Current Dollars)
Series ID,Region Name,Region Code,2021-01-01
"MEHOINUSALA646N","Alabama","01","56929"
"MEHOINUSAKA646N","Alaska","02","81133"
"MEHOINUSAZA646N","Arizona","04","70821"
"MEHOINUSARA646N","Arkansas","05","50784"
"MEHOINUSCAA646N","California","06","81575"
"MEHOINUSCOA646N","Colorado","08","84954"
"MEHOINUSCTA646N","Connecticut","09","80958"
"MEHOINUSDEA646N","Delaware","10","68687"
"MEHOINUSDCA646N","District of Columbia","11","90640"
"MEHOINUSFLA646N","Florida","12","59734"
"MEHOINUSGAA646N","Georgia","13","61497"
"MEHOINUSHIA646N","Hawaii","15","82199"
"MEHOINUSIDA646N","Idaho","16","76918"
"MEHOINUSILA646N","Illinois","17","79253"
"MEHOINUSINA646N","Indiana","18","70190"
"MEHOINUSIAA646N","Iowa","19","72429"
"MEHOINUSKSA646N","Kansas","20","75979"
"MEHOINUSKYA646N","Kentucky","21","55629"
"MEHOINUSLAA646N","Louisiana","22","57206"
"MEHOINUSMEA646N","Maine","23","71139"
"MEHOINUSMDA646N","Maryland","24","97332"
"MEHOINUSMAA646N","Massachusetts","25","86566"
"MEHOINUSMIA646N","Michigan","26","64488"
"MEHOINUSMNA646N","Minnesota","27","80441"
"MEHOINUSMSA646N","Mississippi","28","46637"
"MEHOINUSMOA646N","Missouri","29","63594"
"MEHOINUSMTA646N","Montana","30","64999"
"MEHOINUSNEA646N","Nebraska","31","78109"
"MEHOINUSNVA646N","Nevada","32","64340"
"MEHOINUSNHA646N","New Hampshire","33","88841"
"MEHOINUSNJA646N","New Jersey","34","88559"
"MEHOINUSNMA646N","New Mexico","35","53463"
"MEHOINUSNYA646N","New York","36","72920"
"MEHOINUSNCA646N","North Carolina","37","62891"
"MEHOINUSNDA646N","North Dakota","38","68882"
"MEHOINUSOHA646N","Ohio","39","62689"
"MEHOINUSOKA646N","Oklahoma","40","60096"
"MEHOINUSORA646N","Oregon","41","81855"
"MEHOINUSPAA646N","Pennsylvania","42","72627"
"MEHOINUSRIA646N","Rhode Island","44","74982"
"MEHOINUSSCA646N","South Carolina","45","62542"
"MEHOINUSSDA646N","South Dakota","46","73893"
"MEHOINUSTNA646N","Tennessee","47","62166"
"MEHOINUSTXA646N","Texas","48","67404"
"MEHOINUSUTA646N","Utah","49","87649"
"MEHOINUSVTA646N","Vermont","50","76079"
"MEHOINUSVAA646N","Virginia","51","80268"
"MEHOINUSWAA646N","Washington","53","87648"
"MEHOINUSWVA646N","West Virginia","54","46836"
"MEHOINUSWIA646N","Wisconsin","55","69943"
"MEHOINUSWYA646N","Wyoming","56","71052"
