2022 Resident Population by State (Thousands of Persons)
Series ID,Region Name,Region Code,2022-01-01
"ALPOP","Alabama","01","5074.296"
"AKPOP","Alaska","02","733.583"
"AZPOP","Arizona","04","7359.197"
"ARPOP","Arkansas","05","3045.637"
"CAPOP","California","06","39029.342"
"COPOP","Colorado","08","5839.926"
"CTPOP","Connecticut","09","3626.205"
"DEPOP","Delaware","10","1018.396"
"DCPOP","District of Columbia","11","671.803"
"FLPOP","Florida","12","22244.823"
"GAPOP","Georgia","13","10912.876"
"HIPOP","Hawaii","15","1440.196"
"IDPOP","Idaho","16","1939.033"
"ILPOP","Illinois","17","12582.032"
"INPOP","Indiana","18","6833.037"
"IAPOP","Iowa","19","3200.517"
"KSPOP","Kansas","20","2937.15"
"KYPOP","Kentucky","21","4512.31"
"LAPOP","Louisiana","22","4590.241"
"MEPOP","Maine","23","1385.34"
"MDPOP","Maryland","24","6164.66"
"MAPOP","Massachusetts","25","6981.974"
"MIPOP","Michigan","26","10034.113"
"MNPOP","Minnesota","27","5717.184"
"MSPOP","Mississippi","28","2940.057"
"MOPOP","Missouri","29","6177.957"
"MTPOP","Montana","30","1122.867"
"NEPOP","Nebraska","31","1967.923"
"NVPOP","Nevada","32","3177.772"
"NHPOP","New Hampshire","33","1395.231"
"NJPOP","New Jersey","34","9261.699"
"NMPOP","New Mexico","35","2113.344"
"NYPOP","New York","36","19677.151"
"NCPOP","North Carolina","37","10698.973"
"NDPOP","North Dakota","38","779.261"
"OHPOP","Ohio","39","11756.058"
"OKPOP","Oklahoma","40","4019.8"
"ORPOP","Oregon","41","4240.137"
"PAPOP","Pennsylvania","42","12972.008"
"RIPOP","Rhode Island","44","1093.734"
"SCPOP","South Carolina","45","5282.634"
"SDPOP","South Dakota","46","909.824"
"TNPOP","Tennessee","47","7051.339"
"TXPOP","Texas","48","30029.572"
"UTPOP","Utah","49","3380.8"
"VTPOP","Vermont","50","647.064"
"VAPOP","Virginia","51","8683.619"
"WAPOP","Washington","53","7785.786"
"WVPOP","West Virginia","54","1775.156"
"WIPOP","Wisconsin","55","5892.539"
"WYPOP","Wyoming","56","581.381"
